topology,iteration,train_median_num_pairs_retained,test_median_num_pairs_retained,train_accuracy,test_accuracy,roc_auc_test,aps,confusion_matrix,classifier_path,cder_models_path,runtime
EEHEE,7,"{'train_h_0_pairs': {'green': 696.0, 'red': 650.0}, 'train_h_1_pairs': {'green': 1081.0, 'red': 962.0}, 'train_h_2_pairs': {'green': 733.0, 'red': 620.0}}","{'test_h_0_pairs': {'green': 701.0, 'red': 648.0}, 'test_h_1_pairs': {'green': 1078.0, 'red': 960.0}, 'test_h_2_pairs': {'green': 733.5, 'red': 615.5}}",0.9632829373650108,0.9482758620689655,0.9865487514863258,0.9849264643084551,"[[107   9]
 [  3 113]]",classifiers/EEHEE_cder_rf_clf_gs_7.pickle,"['cder_models/EEHEE_cder_h0_model_iteration_7.pickle', 'cder_models/EEHEE_cder_h1_model_iteration_7.pickle', 'cder_models/EEHEE_cder_h2_model_iteration_7.pickle']",6031.077173948288
EEHEE,8,"{'train_h_0_pairs': {'green': 696.0, 'red': 650.0}, 'train_h_1_pairs': {'green': 1081.0, 'red': 961.0}, 'train_h_2_pairs': {'green': 733.0, 'red': 619.0}}","{'test_h_0_pairs': {'green': 698.0, 'red': 648.0}, 'test_h_1_pairs': {'green': 1082.0, 'red': 966.5}, 'test_h_2_pairs': {'green': 734.0, 'red': 620.0}}",0.9622030237580994,0.9482758620689655,0.9878864447086801,0.9871239123475957,"[[107   9]
 [  3 113]]",classifiers/EEHEE_cder_rf_clf_gs_8.pickle,"['cder_models/EEHEE_cder_h0_model_iteration_8.pickle', 'cder_models/EEHEE_cder_h1_model_iteration_8.pickle', 'cder_models/EEHEE_cder_h2_model_iteration_8.pickle']",6388.876885890961
EEHEE,9,"{'train_h_0_pairs': {'green': 696.0, 'red': 650.0}, 'train_h_1_pairs': {'green': 1080.0, 'red': 962.0}, 'train_h_2_pairs': {'green': 733.0, 'red': 620.0}}","{'test_h_0_pairs': {'green': 699.0, 'red': 647.5}, 'test_h_1_pairs': {'green': 1085.0, 'red': 956.0}, 'test_h_2_pairs': {'green': 738.0, 'red': 616.0}}",0.9643628509719222,0.9439655172413793,0.9867717003567182,0.9841908282361018,"[[107   9]
 [  4 112]]",classifiers/EEHEE_cder_rf_clf_gs_9.pickle,"['cder_models/EEHEE_cder_h0_model_iteration_9.pickle', 'cder_models/EEHEE_cder_h1_model_iteration_9.pickle', 'cder_models/EEHEE_cder_h2_model_iteration_9.pickle']",5413.918721437454
HEEH,0,"{'train_h_0_pairs': {'green': 714.0, 'red': 692.5}, 'train_h_1_pairs': {'green': 1085.5, 'red': 1030.5}, 'train_h_2_pairs': {'green': 734.5, 'red': 694.0}}","{'test_h_0_pairs': {'green': 711.0, 'red': 696.0}, 'test_h_1_pairs': {'green': 1087.5, 'red': 1014.0}, 'test_h_2_pairs': {'green': 752.5, 'red': 674.0}}",0.8351063829787234,0.875,0.9375,0.9524921319102354,"[[22  2]
 [ 4 20]]",classifiers/HEEH_cder_rf_clf_gs_0.pickle,"['cder_models/HEEH_cder_h0_model_iteration_0.pickle', 'cder_models/HEEH_cder_h1_model_iteration_0.pickle', 'cder_models/HEEH_cder_h2_model_iteration_0.pickle']",440.38283681869507
HEEH,1,"{'train_h_0_pairs': {'green': 712.5, 'red': 692.5}, 'train_h_1_pairs': {'green': 1087.0, 'red': 1027.5}, 'train_h_2_pairs': {'green': 735.5, 'red': 691.0}}","{'test_h_0_pairs': {'green': 714.5, 'red': 695.5}, 'test_h_1_pairs': {'green': 1080.5, 'red': 1030.5}, 'test_h_2_pairs': {'green': 744.5, 'red': 690.0}}",0.8457446808510638,0.7708333333333334,0.798611111111111,0.69254336980568,"[[19  5]
 [ 6 18]]",classifiers/HEEH_cder_rf_clf_gs_1.pickle,"['cder_models/HEEH_cder_h0_model_iteration_1.pickle', 'cder_models/HEEH_cder_h1_model_iteration_1.pickle', 'cder_models/HEEH_cder_h2_model_iteration_1.pickle']",412.44306087493896
HEEH,2,"{'train_h_0_pairs': {'green': 713.0, 'red': 694.5}, 'train_h_1_pairs': {'green': 1086.5, 'red': 1031.5}, 'train_h_2_pairs': {'green': 736.5, 'red': 692.0}}","{'test_h_0_pairs': {'green': 714.5, 'red': 688.5}, 'test_h_1_pairs': {'green': 1086.5, 'red': 1014.5}, 'test_h_2_pairs': {'green': 733.5, 'red': 683.5}}",0.9202127659574468,0.8125,0.8489583333333334,0.8462933601615277,"[[20  4]
 [ 5 19]]",classifiers/HEEH_cder_rf_clf_gs_2.pickle,"['cder_models/HEEH_cder_h0_model_iteration_2.pickle', 'cder_models/HEEH_cder_h1_model_iteration_2.pickle', 'cder_models/HEEH_cder_h2_model_iteration_2.pickle']",356.7383370399475
HEEH,3,"{'train_h_0_pairs': {'green': 712.0, 'red': 694.5}, 'train_h_1_pairs': {'green': 1087.5, 'red': 1030.5}, 'train_h_2_pairs': {'green': 735.5, 'red': 691.5}}","{'test_h_0_pairs': {'green': 719.0, 'red': 688.0}, 'test_h_1_pairs': {'green': 1080.5, 'red': 1014.5}, 'test_h_2_pairs': {'green': 739.0, 'red': 687.5}}",0.8617021276595744,0.875,0.9149305555555556,0.8762582596412576,"[[20  4]
 [ 2 22]]",classifiers/HEEH_cder_rf_clf_gs_3.pickle,"['cder_models/HEEH_cder_h0_model_iteration_3.pickle', 'cder_models/HEEH_cder_h1_model_iteration_3.pickle', 'cder_models/HEEH_cder_h2_model_iteration_3.pickle']",485.95889496803284
HEEH,4,"{'train_h_0_pairs': {'green': 712.0, 'red': 693.0}, 'train_h_1_pairs': {'green': 1083.5, 'red': 1030.5}, 'train_h_2_pairs': {'green': 734.5, 'red': 687.0}}","{'test_h_0_pairs': {'green': 719.5, 'red': 692.0}, 'test_h_1_pairs': {'green': 1092.5, 'red': 1012.5}, 'test_h_2_pairs': {'green': 742.5, 'red': 692.5}}",0.9680851063829787,0.7708333333333334,0.8003472222222222,0.7301277970637079,"[[19  5]
 [ 6 18]]",classifiers/HEEH_cder_rf_clf_gs_4.pickle,"['cder_models/HEEH_cder_h0_model_iteration_4.pickle', 'cder_models/HEEH_cder_h1_model_iteration_4.pickle', 'cder_models/HEEH_cder_h2_model_iteration_4.pickle']",412.99923372268677
HEEH,5,"{'train_h_0_pairs': {'green': 711.5, 'red': 693.0}, 'train_h_1_pairs': {'green': 1086.0, 'red': 1030.5}, 'train_h_2_pairs': {'green': 735.5, 'red': 691.5}}","{'test_h_0_pairs': {'green': 715.5, 'red': 693.0}, 'test_h_1_pairs': {'green': 1089.5, 'red': 1023.0}, 'test_h_2_pairs': {'green': 741.5, 'red': 687.5}}",0.8297872340425532,0.8125,0.8628472222222222,0.9039937293531892,"[[21  3]
 [ 6 18]]",classifiers/HEEH_cder_rf_clf_gs_5.pickle,"['cder_models/HEEH_cder_h0_model_iteration_5.pickle', 'cder_models/HEEH_cder_h1_model_iteration_5.pickle', 'cder_models/HEEH_cder_h2_model_iteration_5.pickle']",422.34597158432007
HEEH,6,"{'train_h_0_pairs': {'green': 715.0, 'red': 692.5}, 'train_h_1_pairs': {'green': 1086.5, 'red': 1026.0}, 'train_h_2_pairs': {'green': 734.5, 'red': 687.0}}","{'test_h_0_pairs': {'green': 711.5, 'red': 695.5}, 'test_h_1_pairs': {'green': 1085.0, 'red': 1031.5}, 'test_h_2_pairs': {'green': 741.0, 'red': 702.5}}",0.8351063829787234,0.75,0.8003472222222222,0.7510118875921951,"[[19  5]
 [ 7 17]]",classifiers/HEEH_cder_rf_clf_gs_6.pickle,"['cder_models/HEEH_cder_h0_model_iteration_6.pickle', 'cder_models/HEEH_cder_h1_model_iteration_6.pickle', 'cder_models/HEEH_cder_h2_model_iteration_6.pickle']",451.2767741680145
HEEH,7,"{'train_h_0_pairs': {'green': 714.5, 'red': 693.5}, 'train_h_1_pairs': {'green': 1087.0, 'red': 1031.0}, 'train_h_2_pairs': {'green': 737.0, 'red': 692.0}}","{'test_h_0_pairs': {'green': 710.5, 'red': 691.0}, 'test_h_1_pairs': {'green': 1074.5, 'red': 1017.5}, 'test_h_2_pairs': {'green': 730.5, 'red': 674.0}}",0.8191489361702128,0.8541666666666666,0.9097222222222223,0.8370634453558636,"[[21  3]
 [ 4 20]]",classifiers/HEEH_cder_rf_clf_gs_7.pickle,"['cder_models/HEEH_cder_h0_model_iteration_7.pickle', 'cder_models/HEEH_cder_h1_model_iteration_7.pickle', 'cder_models/HEEH_cder_h2_model_iteration_7.pickle']",408.9295394420624
