cv_fold,H_0_green[-1.1]_aps,H_0_red[-1.24]_aps,H_0_green[-0.94]_aps,H_0_green[-1.21]_aps,H_1_green[0.69 0.24]_aps,H_1_red[-0.41  2.95]_aps,H_1_red[27.75  0.04]_aps,H_1_green[11.89  0.13]_aps,H_2_green[1.53 0.08]_aps,H_2_red[11.09  0.11]_aps
1,0.9590419754617261,0.9532407444449779,0.9539373455491875,0.9564401157674751,0.9582136613386614,0.9550894251144588,0.9557001831544165,0.9548708182382433,0.9535943971539137,0.9584038190538529
2,0.765970336909546,0.7360906478372308,0.7515920445002892,0.7898185475392319,0.7533442259034362,0.7497758733420127,0.7552360357806968,0.7545733933866732,0.7482888110837811,0.7625520945665097
3,0.7961723634908086,0.7801717684951173,0.7795620012403479,0.7857341916230647,0.793330611685956,0.8002812974022006,0.7814606873495604,0.7510646747087473,0.7788112504895972,0.7706920323802412
4,0.8173729375760268,0.8102260010410218,0.8238460511398525,0.7960608248571839,0.8275689861220419,0.837379591688118,0.8376882412406239,0.8113792756531553,0.8244943843968815,0.8242044044072969
5,0.9119435485171115,0.9149369826174005,0.9077384725928035,0.9096835526843368,0.917920611015913,0.9160722363613498,0.91295996851224,0.8988059011484539,0.9050776769854472,0.9096835526843368
