,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
AlaCount,0.00024874229269415405,0.0032073777792008314,0.0026254011265637936,0.0012804156754286345,0.001337762172344857,0.0012402868967816758,0.0007393926499106084,0.002642058562533084,0.0026027762105619847,0.0005980368737360978
T1_absq,2.663776182415626e-05,0.002859155749633845,0.0025834636915587988,0.00043340343711568096,0.0008069756896382494,0.00019288031371960757,3.6771480108164444e-05,0.003121766616691237,0.0023448332786384263,6.498677123331636e-05
T1_netq,3.871518322523645e-05,0.0027256873229798964,0.00197799258617519,0.0004075079929842881,0.0006412894322879777,0.00037835334032417254,4.3768234254236434e-06,0.0016756609537450391,0.002214331535727278,0.0001473847331462822
Tend_absq,9.233834415149462e-05,0.0020501237327069147,0.0013379462928663141,0.0006223000280948713,0.000834417792121332,0.00040180123027958714,2.665873076091987e-06,0.0015582619142057007,0.0015843038008395464,0.00013080668411609854
Tend_netq,0.00014452038718005893,0.0016156719322447891,0.0009106348504087748,0.0004217417042361304,0.0008404854205327865,0.000682899992592132,2.42263380309216e-05,0.0010120110612592986,0.0014467732624341481,0.00014035984128827353
Tminus1_absq,0.0,0.000731176781164434,0.000579692122925314,0.0003481486557281395,0.00042287048277106027,0.00018947738791002828,0.0,0.0009221952736197498,0.0009377810438891445,3.156701567724388e-05
Tminus1_netq,0.0005311244127443238,0.0012500058903002812,0.0006923427577037026,0.0003582892534327683,0.0006391848274310163,0.0004610470719871175,0.00024112517453862554,0.0008304775620613372,0.0009148039169059274,0.00013445758002624225
abego_res_profile,0.0004176428054118214,0.0034220519047202798,0.0022382304911475817,0.0013538024410468562,0.0014552735300515985,0.0008966187932162251,0.00030412821005540257,0.0031142302305133336,0.0027889196660314092,0.00041298685365436644
abego_res_profile_penalty,0.0001336038538044747,0.0030729747183436476,0.00283111407299654,0.0009743867057666566,0.001688874820494005,0.0010535608283680584,6.0383948763184296e-05,0.002187217962305104,0.002980071201691491,0.0003345195052923479
avg_all_frags,0.009328332261583638,0.018116786123710666,0.015558848680553254,0.01735491420225855,0.029030636910768542,0.005611717912408855,0.005970700119048581,0.022670520613256792,0.014354433327881456,0.012418118119793223
avg_best_frag,0.003813521626529059,0.013054606494714455,0.01758899596850346,0.01687562083301622,0.015370963277950235,0.003861084035030884,0.0010358249730830426,0.013686273266546414,0.018301477573018168,0.0032974154120519487
bb,0.00013521599839147518,0.005994387050657124,0.0059385860081754525,0.0014047986823602743,0.002990142259639417,0.0006716907294084563,0.00010276364666417499,0.006106947540659013,0.006462815562913983,0.00017132767347088638
